"filename", "language", "Dart", "comment", "blank", "total"
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/Subscription/subscription_page.dart", "Dart", 12, 0, 3, 15
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/authentication/email_verification/emailVerificationScreen.dart", "Dart", 46, 2, 5, 53
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/authentication/login/login.dart", "Dart", 22, 0, 3, 25
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/authentication/login/loginForm.dart", "Dart", 252, 15, 16, 283
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/authentication/signup/signup.dart", "Dart", 25, 0, 4, 29
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/authentication/signup/signupForm.dart", "Dart", 317, 24, 18, 359
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/games/Games.dart", "Dart", 162, 0, 7, 169
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/homepage.dart", "Dart", 215, 0, 16, 231
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/initialPages.dart", "Dart", 35, 0, 8, 43
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/podcast/podcastPage.dart", "Dart", 196, 4, 11, 211
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/podcast/shadow_support_file/myPainter.dart", "Dart", 27, 0, 7, 34
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/podcast_player/podcast_player.dart", "Dart", 420, 21, 33, 474
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/profile_page/Profile.dart", "Dart", 185, 1, 4, 190
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/splash_screen/splash.dart", "Dart", 20, 0, 4, 24
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/JsonTesting.dart", "Dart", 40, 0, 7, 47
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/PodcastList.dart", "Dart", 157, 18, 8, 183
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/concaveShadow.dart", "Dart", 0, 59, 13, 72
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/innerShadow.dart", "Dart", 0, 59, 8, 67
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/neumorphic_theme.dart", "Dart", 0, 61, 7, 68
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/Screens/testing/testing.dart", "Dart", 189, 12, 15, 216
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Auth/bloc/auth_bloc.dart", "Dart", 58, 0, 9, 67
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Auth/bloc/auth_event.dart", "Dart", 10, 0, 6, 16
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Auth/bloc/auth_state.dart", "Dart", 20, 0, 12, 32
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Auth/bloc/bloc.dart", "Dart", 3, 0, 0, 3
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Courses/bloc/courses_bloc.dart", "Dart", 13, 1, 5, 19
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Courses/bloc/courses_event.dart", "Dart", 6, 0, 3, 9
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Courses/bloc/courses_state.dart", "Dart", 7, 0, 4, 11
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Feed/bloc/feed_bloc.dart", "Dart", 13, 1, 5, 19
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Feed/bloc/feed_event.dart", "Dart", 6, 0, 3, 9
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Feed/bloc/feed_state.dart", "Dart", 7, 0, 4, 11
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Forum/bloc/forum_bloc.dart", "Dart", 13, 1, 5, 19
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Forum/bloc/forum_event.dart", "Dart", 6, 0, 3, 9
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Forum/bloc/forum_state.dart", "Dart", 7, 0, 4, 11
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Login/bloc/bloc.dart", "Dart", 3, 0, 0, 3
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Login/bloc/login_bloc.dart", "Dart", 52, 16, 11, 79
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Login/bloc/login_event.dart", "Dart", 38, 0, 15, 53
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Login/bloc/login_state.dart", "Dart", 76, 1, 8, 85
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Podcast/bloc/podcast_bloc.dart", "Dart", 13, 1, 5, 19
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Podcast/bloc/podcast_event.dart", "Dart", 6, 0, 3, 9
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Podcast/bloc/podcast_state.dart", "Dart", 7, 0, 4, 11
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Profileset/bloc/bloc.dart", "Dart", 3, 0, 0, 3
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Profileset/bloc/profileset_bloc.dart", "Dart", 64, 0, 9, 73
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Profileset/bloc/profileset_event.dart", "Dart", 35, 0, 15, 50
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Profileset/bloc/profileset_state.dart", "Dart", 87, 0, 10, 97
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Signup/bloc/bloc.dart", "Dart", 3, 0, 0, 3
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Signup/bloc/signup_bloc.dart", "Dart", 55, 0, 10, 65
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Signup/bloc/signup_event.dart", "Dart", 54, 0, 19, 73
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/Signup/bloc/signup_state.dart", "Dart", 89, 1, 10, 100
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/bloc/bloc.dart", "Dart", 18, 1, 4, 23
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/constants/colors.dart", "Dart", 14, 0, 3, 17
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/constants/dimensions.dart", "Dart", 33, 0, 9, 42
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/constants/validator.dart", "Dart", 14, 0, 5, 19
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/main.dart", "Dart", 22, 0, 5, 27
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/Comments.dart", "Dart", 25, 0, 6, 31
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/Games.dart", "Dart", 162, 3, 27, 192
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/Likes.dart", "Dart", 22, 0, 6, 28
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/Messages.dart", "Dart", 27, 0, 8, 35
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/Users.dart", "Dart", 107, 3, 20, 130
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/courseslist.dart", "Dart", 314, 3, 55, 372
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/coursessingle.dart", "Dart", 327, 3, 44, 374
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/lessonslist.dart", "Dart", 337, 3, 63, 403
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/lessonssingle.dart", "Dart", 327, 3, 48, 378
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/lsuser.dart", "Dart", 22, 0, 3, 25
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/podcastlist.dart", "Dart", 253, 3, 53, 309
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/models/podcastsingle.dart", "Dart", 251, 3, 40, 294
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/navdecider.dart", "Dart", 59, 4, 9, 72
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/repositories/Feedrepository.dart", "Dart", 0, 9, 4, 13
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/repositories/music_player_ui_functions.dart", "Dart", 19, 0, 3, 22
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/repositories/userExperience.dart", "Dart", 9, 1, 5, 15
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/repositories/userrepository.dart", "Dart", 232, 29, 31, 292
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/repositories/vanillaDart.dart", "Dart", 0, 57, 11, 68
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/GamesServices.dart", "Dart", 25, 5, 5, 35
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/podcastListService.dart", "Dart", 21, 2, 3, 26
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/services/service.dart", "Dart", 18, 1, 1, 20
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/widget/listtileWidget.dart", "Dart", 115, 19, 8, 142
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/widget/popUpMenu.dart", "Dart", 4, 0, 4, 8
"/Users/razakhan/Desktop/Projects/Vibeus-con/loststoriesacademy/lib/widget/widgets.dart", "Dart", 277, 65, 10, 352
"Total", "-", 6128, 515, 872, 7515
